,open,high,low,close,adjclose,volume,ticker,date
2021-01-14,0.08272847533226013,0.15259933471679688,0.042685236781835556,0.09332673251628876,0.09332673251628876,73323.0,MTC2-USD,2021-01-14
2021-01-11,0.4259430170059204,0.4259430170059204,0.3405970335006714,0.37635383009910583,0.37635383009910583,7450880.0,MTL-USD,2021-01-11
2021-01-12,0.37606969475746155,0.3852672874927521,0.3561599850654602,0.3751242160797119,0.3751242160797119,4786355.0,MTL-USD,2021-01-12
2021-01-13,0.3754192888736725,0.3960218131542206,0.3613124489784241,0.392981618642807,0.392981618642807,6024157.0,MTL-USD,2021-01-13
2021-01-14,0.4102211594581604,0.42310816049575806,0.38776394724845886,0.41230762004852295,0.41230762004852295,7735061.0,MTL-USD,2021-01-14
2021-01-11,11.357657432556152,11.357657432556152,7.851449489593506,8.906780242919922,8.906780242919922,1059441.0,MWC-USD,2021-01-11
2021-01-12,8.914491653442383,9.289030075073242,8.292452812194824,8.708313941955566,8.708313941955566,566874.0,MWC-USD,2021-01-12
2021-01-13,8.700016975402832,10.369991302490234,8.276801109313965,10.2968168258667,10.2968168258667,525784.0,MWC-USD,2021-01-13
2021-01-14,10.615335464477539,11.000362396240234,10.337078094482422,10.87063217163086,10.87063217163086,619465.0,MWC-USD,2021-01-14
2021-01-11,3.2077548503875732,3.229891300201416,2.2163455486297607,2.8353652954101562,2.8353652954101562,150443613.0,NANO-USD,2021-01-11
2021-01-12,2.833599805831909,3.9860823154449463,2.7366390228271484,3.4569132328033447,3.4569132328033447,226925604.0,NANO-USD,2021-01-12
2021-01-13,3.462660551071167,3.6094577312469482,3.130791664123535,3.5551397800445557,3.5551397800445557,97041178.0,NANO-USD,2021-01-13
2021-01-14,3.5119025707244873,3.6033225059509277,3.3657524585723877,3.4988009929656982,3.4988009929656982,80608488.0,NANO-USD,2021-01-14
2021-01-11,0.33990535140037537,0.3399540185928345,0.2518385648727417,0.2825636565685272,0.2825636565685272,3720887.0,NAS-USD,2021-01-11
2021-01-12,0.2821975350379944,0.29344508051872253,0.26104339957237244,0.269253134727478,0.269253134727478,2716599.0,NAS-USD,2021-01-12
2021-01-13,0.26948249340057373,0.29255756735801697,0.25795888900756836,0.29120922088623047,0.29120922088623047,2219048.0,NAS-USD,2021-01-13
2021-01-14,0.2872444987297058,0.29735276103019714,0.2852246165275574,0.291663259267807,0.291663259267807,1600789.0,NAS-USD,2021-01-14
2021-01-11,0.16607289016246796,0.16657832264900208,0.12721799314022064,0.1509934514760971,0.1509934514760971,356282.0,NAV-USD,2021-01-11
2021-01-12,0.15074527263641357,0.16281504929065704,0.1277889907360077,0.15505802631378174,0.15505802631378174,209415.0,NAV-USD,2021-01-12
2021-01-13,0.15499454736709595,0.16651767492294312,0.1241992935538292,0.16347694396972656,0.16347694396972656,196169.0,NAV-USD,2021-01-13
2021-01-14,0.16626408696174622,0.2145209163427353,0.15447649359703064,0.19666613638401031,0.19666613638401031,732910.0,NAV-USD,2021-01-14
2021-01-11,0.6020274758338928,0.6020274758338928,0.482329398393631,0.5954834818840027,0.5954834818840027,1316044.0,NEBL-USD,2021-01-11
